"Tissue","Gene","Variable","median_TPM","coefficient","p.value","FDR"
"Breast - Mammary Tissue","TMPRSS2","SEX",6.75746440533246,24.5335794114978,2.70823629177534e-79,1.67910650090071e-77
"Colon - Transverse","TMPRSS2","AGE",68.2282659034587,-8.58452403408619,3.05713040323947e-16,9.47710425004236e-15
"Breast - Mammary Tissue","ACE2","SEX",2.36349907090815,-7.29264922278656,1.89523703804685e-12,3.91682321196349e-11
"Prostate","TMPRSS2","AGE",182.900000000001,-6.12056763219238,4.94874857478368e-09,7.6705602909147e-08
"Minor Salivary Gland","ACE2","AGE",2.00436482471753,-5.73289951473007,6.47738941134933e-08,8.03196287007317e-07
"Colon - Transverse","ACE2","AGE",3.62944035494573,-5.40334908037095,1.21366621014439e-07,1.25412175048254e-06
"Breast - Mammary Tissue","TMPRSS2","AGE",6.75746440533246,-5.08972193268478,5.72509799429053e-07,5.07080108065733e-06
"Pituitary","TMPRSS2","SEX",1.707,-4.92671731127752,1.6826350939349e-06,1.30404219779955e-05
"Adipose - Subcutaneous","ACE2","SEX",2.325,4.79716998484167,2.0888027245922e-06,1.4389529880524e-05
"Minor Salivary Gland","TMPRSS2","AGE",41.7843546170798,-3.9923784161121,0.000108382229841199,0.000671969825015434
"Skin - Not Sun Exposed (Suprapubic)","TMPRSS2","AGE",4.718,3.26557593547698,0.0011697086151352,0.00659290310348931
"Liver","TMPRSS2","SEX",12.6049990812202,3.20762913970563,0.00157595664689663,0.00814244267563259
"Vagina","TMPRSS2","AGE",4.43,-3.07331952768909,0.00259528717304715,0.0123775234406864
"Testis","ACE2","AGE",46.6799905620801,-3.00049379062937,0.0029216193607306,0.0129386000260927
"Skin - Not Sun Exposed (Suprapubic)","TMPRSS2","SEX",4.718,-2.9245246372,0.00361100676525918,0.0149254946297379
"Ovary","ACE2","AGE",1.461,2.87392003573629,0.0046642527397549,0.0180739793665502
"Lung","TMPRSS2","AGE",44.1999999999998,-2.64965228656942,0.00832609693574636,0.028850034787711
"Lung","ACE2","AGE",1.012,2.64760960260116,0.00837581655127092,0.028850034787711
"Heart - Left Ventricle","ACE2","SEX",7.93632765737694,2.56267576314894,0.0107829077422746,0.0338061160583835
"Colon - Transverse","ACE2","SEX",3.62944035494573,2.55939355518746,0.0109051987285108,0.0338061160583835
"Esophagus - Mucosa","TMPRSS2","AGE",28.1799999999998,-2.47446040170187,0.0137018077826996,0.0404529563108274
"Artery - Coronary","ACE2","AGE",1.598,2.35065018479701,0.0197713587620869,0.0557192837840631
"Skin - Sun Exposed (Lower leg)","TMPRSS2","SEX",6.90199999999999,-2.13925198266562,0.0328439354483925,0.0885358259913189
"Esophagus - Mucosa","ACE2","AGE",2.454,-2.1108630819705,0.0353207682745506,0.091245318042589
"Pancreas","TMPRSS2","AGE",48.5199999999998,2.01438557948668,0.0449216923763833,0.107361385976004
"Skin - Sun Exposed (Lower leg)","TMPRSS2","AGE",6.90199999999999,2.00891999994643,0.0450225166996147,0.107361385976004
"Small Intestine - Terminal Ileum","TMPRSS2","SEX",42.6020756386666,1.90442236041187,0.0586275819837374,0.134626299370064
"Pancreas","TMPRSS2","SEX",48.5199999999998,-1.87244733292222,0.0621794640078152,0.137683098874448
"Lung","TMPRSS2","SEX",44.1999999999998,-1.84882573357763,0.065102876867258,0.139185460888621
"Thyroid","TMPRSS2","AGE",19.4999975609754,1.6973461332774,0.0902216448580729,0.186458066040017
"Minor Salivary Gland","ACE2","SEX",2.00436482471753,1.67870856359017,0.0956110393299378,0.187466170723272
"Liver","TMPRSS2","AGE",12.6049990812202,1.6691711472131,0.0967567332765274,0.187466170723272
"Thyroid","TMPRSS2","SEX",19.4999975609754,1.54006727348403,0.124145295885055,0.233242677117376
