Gene_Name	 Bait
BRD2	SARS-CoV2 E
BRD4	SARS-CoV2 E
CSNK2A2	SARS-CoV2 N
HDAC2	SARS-CoV2 nsp5
ATP6AP1	SARS-CoV2 nsp6
SIGMAR1	SARS-CoV2 nsp6
TMEM97	SARS-CoV2 orf9c
COMT	SARS-CoV2 nsp7
PTGES2	SARS-CoV2 nsp7
NDUFAF2	SARS-CoV2 nsp7
NDUFAF1	SARS-CoV2 orf9c
NDUFB9	SARS-CoV2 orf9c
RIPK1	SARS-CoV2 nsp12
PRKACA	SARS-CoV2 nsp13
IMPDH2	SARS-CoV2 nsp14
GLA	SARS-CoV2 nsp14
DNMT1	SARS-CoV2 orf8
LOX	SARS-CoV2 orf8
MARK2	SARS-CoV2 orf9b
MARK3	SARS-CoV2 orf9b
DCTPP1	SARS-CoV2 orf9b
TBK1	SARS-CoV2 nsp13
F2RL1	SARS-CoV2 orf9c
ABCC1	SARS-CoV2 orf9c
LARP1	SARS-CoV2 N
FKBP15	SARS-CoV2 nsp2
FKBP7	SARS-CoV2 orf8
FKBP10	SARS-CoV2 orf8
EIF4E2	SARS-CoV2 nsp2
EIF4H	SARS-CoV2 nsp2
NUP210	SARS-CoV2 nsp4
NUP214	SARS-CoV2 nsp4
NUP62	SARS-CoV2 nsp9
NUP54	SARS-CoV2 nsp9
NUP88	SARS-CoV2 nsp9
NUP58	SARS-CoV2 nsp9
NUP98	SARS-CoV2 orf6
RAE1	SARS-CoV2 orf6
NEK9	SARS-CoV2 nsp9
CEP250	SARS-CoV2 nsp13
CUL2	SARS-CoV2 orf10
